SensorSweep starting
STA;SR1;SD149;IR1;ID124;SA33;SB34;END;
STA;SR21;SD91;IR21;ID31;SA2;SB1;END;
STA;SR41;SD22;IR41;ID22;SA0;SB0;END;
STA;SR61;SD22;IR61;ID52;SA1;SB0;END;
STA;SR81;SD48;IR81;ID92;SA14;SB0;END;
STA;SR101;SD71;IR101;ID76;SA32;SB16;END;
STA;SR121;SD474;IR121;ID90;SA0;SB0;END;
STA;SR141;SD33;IR141;ID171;SA34;SB23;END;
STA;SR161;SD30;IR161;ID478;SA1;SB2;END;
STA;SR179;SD383;IR179;ID353;SA2;SB2;END;
STA;SR159;SD30;IR159;ID275;SA2;SB2;END;
STA;SR139;SD33;IR139;ID146;SA9;SB2;END;
STA;SR119;SD477;IR119;ID211;SA2;SB2;END;
STA;SR99;SD66;IR99;ID96;SA0;SB0;END;
STA;SR79;SD68;IR79;ID104;SA0;SB0;END;
STA;SR59;SD20;IR59;ID48;SA8;SB1;END;
STA;SR39;SD20;IR39;ID23;SA9;SB1;END;
STA;SR19;SD71;IR19;ID34;SA2;SB2;END;
STA;SR2;SD43;IR2;ID129;SA41;SB23;END;
STA;SR22;SD76;IR22;ID30;SA2;SB3;END;
STA;SR42;SD5;IR42;ID21;SA4;SB2;END;
STA;SR62;SD35;IR62;ID53;SA2;SB1;END;
STA;SR82;SD68;IR82;ID83;SA0;SB0;END;
STA;SR102;SD68;IR102;ID81;SA10;SB0;END;
STA;SR122;SD45;IR122;ID92;SA3;SB2;END;
STA;SR142;SD33;IR142;ID162;SA7;SB2;END;
STA;SR162;SD187;IR162;ID336;SA1;SB2;END;
STA;SR178;SD421;IR178;ID535;SA6;SB1;END;
STA;SR158;SD30;IR158;ID218;SA3;SB2;END;
STA;SR138;SD81;IR138;ID136;SA4;SB2;END;
STA;SR118;SD355;IR118;ID78;SA0;SB1;END;
STA;SR98;SD71;IR98;ID92;SA3;SB2;END;
STA;SR78;SD68;IR78;ID93;SA0;SB0;END;
STA;SR58;SD33;IR58;ID48;SA8;SB1;END;
STA;SR38;SD17;IR38;ID23;SA3;SB1;END;
STA;SR18;SD73;IR18;ID35;SA2;SB2;END;
STA;SR3;SD129;IR3;ID146;SA3;SB15;END;
STA;SR23;SD114;IR23;ID28;SA4;SB3;END;
STA;SR43;SD22;IR43;ID22;SA0;SB0;END;
STA;SR63;SD35;IR63;ID55;SA6;SB2;END;
STA;SR83;SD71;IR83;ID78;SA0;SB0;END;
STA;SR103;SD68;IR103;ID84;SA9;SB0;END;
STA;SR123;SD490;IR123;ID97;SA2;SB1;END;
STA;SR143;SD35;IR143;ID190;SA2;SB2;END;
STA;SR163;SD198;IR163;ID193;SA1;SB1;END;
STA;SR177;SD30;IR177;ID373;SA10;SB2;END;
STA;SR157;SD30;IR157;ID193;SA0;SB0;END;
STA;SR137;SD43;IR137;ID133;SA2;SB0;END;
STA;SR117;SD60;IR117;ID59;SA5;SB4;END;
STA;SR97;SD66;IR97;ID93;SA1;SB2;END;
STA;SR77;SD71;IR77;ID106;SA1;SB0;END;
STA;SR57;SD38;IR57;ID45;SA2;SB1;END;
STA;SR37;SD22;IR37;ID23;SA2;SB0;END;
STA;SR17;SD129;IR17;ID38;SA9;SB2;END;
STA;SR4;SD132;IR4;ID140;SA2;SB0;END;
STA;SR24;SD129;IR24;ID29;SA21;SB11;END;
STA;SR44;SD20;IR44;ID25;SA0;SB0;END;
STA;SR64;SD30;IR64;ID56;SA2;SB2;END;
STA;SR84;SD73;IR84;ID76;SA2;SB2;END;
STA;SR104;SD71;IR104;ID83;SA2;SB0;END;
STA;SR124;SD528;IR124;ID94;SA3;SB2;END;
STA;SR144;SD30;IR144;ID169;SA5;SB2;END;
STA;SR164;SD383;IR164;ID275;SA7;SB0;END;
STA;SR176;SD30;IR176;ID535;SA7;SB2;END;
STA;SR156;SD30;IR156;ID193;SA10;SB1;END;
STA;SR136;SD246;IR136;ID135;SA2;SB2;END;
STA;SR116;SD68;IR116;ID75;SA10;SB1;END;
STA;SR96;SD66;IR96;ID93;SA0;SB0;END;
STA;SR76;SD38;IR76;ID106;SA1;SB0;END;
STA;SR56;SD25;IR56;ID41;SA4;SB1;END;
STA;SR36;SD25;IR36;ID24;SA10;SB2;END;
STA;SR16;SD129;IR16;ID48;SA0;SB0;END;
STA;SR5;SD129;IR5;ID146;SA4;SB0;END;
STA;SR25;SD129;IR25;ID28;SA8;SB3;END;
STA;SR45;SD20;IR45;ID31;SA0;SB0;END;
STA;SR65;SD38;IR65;ID59;SA4;SB1;END;
STA;SR85;SD78;IR85;ID73;SA7;SB1;END;
STA;SR105;SD114;IR105;ID79;SA7;SB0;END;
STA;SR125;SD467;IR125;ID97;SA0;SB0;END;
STA;SR145;SD35;IR145;ID140;SA3;SB1;END;
STA;SR165;SD441;IR165;ID180;SA0;SB0;END;
STA;SR175;SD25;IR175;ID363;SA3;SB3;END;
STA;SR155;SD33;IR155;ID162;SA0;SB0;END;
STA;SR135;SD332;IR135;ID140;SA0;SB1;END;
STA;SR115;SD86;IR115;ID93;SA0;SB1;END;
STA;SR95;SD66;IR95;ID96;SA0;SB0;END;
STA;SR75;SD35;IR75;ID93;SA2;SB5;END;
STA;SR55;SD20;IR55;ID40;SA6;SB3;END;
STA;SR35;SD25;IR35;ID24;SA8;SB3;END;
STA;SR15;SD76;IR15;ID63;SA0;SB0;END;
STA;SR6;SD134;IR6;ID145;SA7;SB2;END;
STA;SR26;SD121;IR26;ID27;SA14;SB1;END;
STA;SR46;SD20;IR46;ID35;SA7;SB1;END;
STA;SR66;SD35;IR66;ID61;SA23;SB0;END;
STA;SR86;SD88;IR86;ID80;SA0;SB0;END;
STA;SR106;SD68;IR106;ID80;SA9;SB0;END;
STA;SR126;SD480;IR126;ID94;SA2;SB3;END;
STA;SR146;SD38;IR146;ID166;SA7;SB0;END;
STA;SR166;SD35;IR166;ID328;SA0;SB2;END;
STA;SR174;SD30;IR174;ID233;SA0;SB0;END;
STA;SR154;SD30;IR154;ID139;SA1;SB4;END;
STA;SR134;SD200;IR134;ID111;SA0;SB0;END;
STA;SR114;SD86;IR114;ID80;SA0;SB1;END;
STA;SR94;SD68;IR94;ID93;SA5;SB7;END;
STA;SR74;SD17;IR74;ID83;SA4;SB0;END;
STA;SR54;SD27;IR54;ID41;SA0;SB5;END;
STA;SR34;SD10;IR34;ID23;SA7;SB8;END;
STA;SR14;SD129;IR14;ID106;SA0;SB0;END;
STA;SR7;SD129;IR7;ID159;SA27;SB2;END;
STA;SR27;SD73;IR27;ID28;SA0;SB8;END;
STA;SR47;SD22;IR47;ID35;SA0;SB0;END;
STA;SR67;SD38;IR67;ID59;SA4;SB3;END;
STA;SR87;SD60;IR87;ID86;SA0;SB2;END;
STA;SR107;SD68;IR107;ID82;SA0;SB0;END;
STA;SR127;SD500;IR127;ID97;SA0;SB0;END;
STA;SR147;SD20;IR147;ID112;SA0;SB1;END;
